Variable,gene,emmean,SE,df,lower.CL,upper.CL,.group
mla,G6,1.2474081084482733,0.15126113234846655,44.55180205226453,0.94266793387676,1.5521482830197866,bc
mla,G5,1.069102484414387,0.1494683952850388,42.69937506668576,0.7676093531076774,1.3705956157210966,bc
mla,G2,1.0037377347374747,0.15992651332914007,49.56474416782324,0.6824459731202361,1.3250294963547133,bc
mla,G3,0.8978512905804188,0.14781924332636237,41.18754689095896,0.599365549041357,1.1963370321194806,c
sla,G4,3876.9122950107644,566.6338645890048,117.4611195476946,2754.769647218597,4999.054942802932,a
sla,G6,1845.8564039513956,339.9802167120489,73.33544866753842,1168.3290203621486,2523.3837875406425,b
sla,G2,1696.1106199497153,361.3593231511687,76.43866915871052,976.467942383041,2415.7532975163895,b
sla,G3,1551.1135904483235,330.8663335270162,67.70464430744994,890.8279456234261,2211.399235273221,b
sla,G1,1492.1824554903333,338.92890577086393,75.82645464584382,817.1220513660778,2167.2428596145887,b
sla,G5,1479.5683124297072,335.20557572460115,70.22488004210086,811.0595088681658,2148.077115991249,b
ratio,G2,0.41215184779987696,0.05786851076819144,73.52819277112202,0.2968340281296651,0.5274696674700888,a
ratio,G3,0.26225520721346923,0.05302197090658776,64.62441424239074,0.15635135090231217,0.3681590635246263,b
ratio,G1,0.2393053788753176,0.05428543779310661,72.29055338084666,0.13109676691449207,0.34751399083614315,b
ratio,G6,0.21583315484967336,0.05446086743594968,70.03466384156128,0.10721532486433599,0.3244509848350107,b
ratio,G5,0.19275647766908685,0.05370695793560336,67.04739547805721,0.08555833389927955,0.2999546214388942,b
ratio,G4,0.1278931982226434,0.09044572853100927,116.56014819618478,-0.05123689058790076,0.30702328703318754,b
